Image Number,IoU
1,0.013849728193445064
2,0.08748501113458573
3,0.0
4,0.4237104101298971
5,0.052033721828502334
6,0.08271286750668194
7,0.005437399678972713
8,0.0036492758852569255
9,0.0
10,0.0
11,0.012775756197407322
12,0.10268922829921626
13,0.0010071338648762064
14,0.001027934452491406
15,0.06588261144797351
16,0.0445393634840871
17,0.01341735347484861
18,0.011301435462244382
19,0.07536337295956694
20,0.018365395728049256
21,0.0
22,0.00400919180560309
23,0.04214260724391277
24,0.07613468917321974
25,0.15921263719007564
26,0.07503406995697832
27,0.21776808637850384
28,0.02698945402017964
29,0.16875268955035297
30,0.07915084915084915
31,0.008537850279023118
32,0.01172153705024972
33,0.020495485858542637
34,0.058862933699759534
35,0.0
36,0.0
37,0.4134578020369249
38,0.23439914184208713
39,0.2537893859655708
40,0.0
41,0.0009599869278375784
42,0.0
43,0.0
44,0.014160259772141446
45,0.019012848814173318
46,0.021121464578216984
47,0.010944172617092273
48,0.01697066880470368
49,0.23792388708268888
50,0.028801886299703774
51,0.31335328487957814
52,0.1896737380801723
53,0.035821285165525046
54,0.014809474541572193
55,0.2513731687524025
56,0.028937045089327915
57,0.19034862252470766
58,0.03598168596821977
59,0.019004856796736944
60,0.0
61,0.13743717537694775
62,0.0
63,0.392312738779763
64,0.14380609965707072
65,0.028584084631820314
66,0.054595143608054196
67,0.11905463751278805
68,0.31087735353608886
69,0.11921792556572271
70,0.3567338626368761
71,0.40666925860573616
72,0.48451146756104707
73,0.20431438655639256
74,0.07735622967214148
75,0.15598595557267816
76,0.026086654631301207
77,0.17491523551062405
78,0.0
79,0.11781752461672691
80,0.22827650172995956
81,0.0
82,0.017220092273701994
83,0.28033718404124636
84,0.0
85,0.14282240133407448
86,0.0
87,0.05248463954484407
88,0.010273547975697746
89,0.11852302081750493
90,0.09196627903102196
91,0.0
92,0.00553951782788484
93,0.061078562142266195
94,0.000523133570084808
95,0.0
96,0.04599826379102358
97,0.04431235732437438
98,0.026550906062288628
99,9.751023857505037e-05
100,0.31618112626226363
101,0.028456634872427593
102,0.03908557315340381
103,0.09575301583124503
104,0.2806901549924347
105,0.0
106,0.2015218339553143
107,0.6243454814299383
108,0.443428715201518
109,0.002674425201189714
110,0.6120240182001268
111,0.4719717785791974
112,0.3642294682162959
113,0.061952784488157775
114,0.14614048574926683
115,0.13049320360394948
116,0.0
117,0.033724391730345506
118,0.05320342815666788
119,0.040887244172665115
120,0.1342389729449679
121,0.0
122,0.10860848435607513
123,0.005784184439088718
124,0.0
125,0.004527778083791436
126,0.13669659152567454
127,0.033340682726688844
128,0.33592839411707137
129,0.11892696132720296
130,0.10854313905064712
131,0.0018905596805390903
132,0.038083118205286697
133,0.20641756829402425
134,0.0
135,0.12368173602626112
136,0.04421317191454716
137,0.030886917960088692
138,0.0
139,0.3041363464375216
140,0.3311236436792982
141,0.0038707931596378632
142,0.027735725978165884
143,0.0
144,0.0
145,0.0038605855878037013
146,0.001221090233100658
147,0.0
148,0.00485722696496909
149,0.0
150,0.40417660425547897
151,0.05710716741636122
152,0.014797789171861907
153,0.03263847238657178
154,0.0
155,0.07847175455357003
156,0.09853511864205942
157,0.051480206175362184
158,0.015621305772283581
159,0.0
160,0.0
161,0.06841108653394999
162,0.0
163,0.001508963013387792
164,0.0336167349684996
165,0.027451131588078808
166,0.0
167,0.011113884629556989
168,0.11665325195945893
169,0.0
170,0.0004244626303100275
171,0.0
172,0.006384934744371728
173,0.3655222983776517
174,0.03280315922677488
175,0.10024813407117115
176,0.2936722613307348
177,0.5895067224646069
178,0.2868120046543283
179,0.30076518840439964
180,0.06986883462839551
181,0.0008874708138318665
182,0.00019346982439768292
183,0.0005115772147957027
184,0.21119062079163475
185,0.0736092032967033
186,0.2143630192020727
187,0.19544826106648233
188,0.023839624345313348
189,0.45571148785850746
190,0.2756052141527002
191,0.08032001771724386
192,0.3471626015762304
193,0.0005837215364910968
194,0.02601891411838126
195,0.18708084275111603
196,0.07310026691078997
197,0.0
198,0.28122497861420015
199,0.0
200,0.0017294681661364757
